 0: (1, 18) order: 5
 1: (1, 25)
 2: (2, 15) order: 55
 3: (2, 28)
 4: (3, 3) order: 11
 5: (3, 40)
 6: (5, 14) order: 55
 7: (5, 29)
 8: (6, 3) order: 55
 9: (6, 40)
10: (10, 5) order: 55
11: (10, 38)
12: (11, 11) order: 11
13: (11, 32)
14: (12, 5) order: 55
15: (12, 38)
16: (13, 1) order: 55
17: (13, 42)
18: (15, 8) order: 55
19: (15, 35)
20: (17, 10) order: 55
21: (17, 33)
22: (18, 15) order: 55
23: (18, 28)
24: (20, 17) order: 55
25: (20, 26)
26: (21, 5) order: 55
27: (21, 38)
28: (22, 4) order: 55
29: (22, 39)
30: (23, 15) order: 55
31: (23, 28)
32: (24, 20) order: 11
33: (24, 23)
34: (25, 17) order: 11
35: (25, 26)
36: (30, 13) order: 11
37: (30, 30)
38: (31, 4) order: 55
39: (31, 39)
40: (32, 7) order: 55
41: (32, 36)
42: (33, 4) order: 55
43: (33, 39)
44: (34, 3) order: 55
45: (34, 40)
46: (36, 21) order: 55
47: (36, 22)
48: (38, 19) order: 55
49: (38, 24)
50: (39, 12) order: 5
51: (39, 31)
52: (41, 17) order: 55
53: (41, 26)

 0: x = 0  y = 4*x + 2  order: 11 | 3
 1: x = 0  y = 39*x + 41 | 3
 2: x = 1  y = 18  order: 5 | 1
 3: x = 1  y = 25 | 1
 4: x = 2  y = 15  order: 55 | 1
 5: x = 2  y = 28 | 1
 6: x = 3  y = 3  order: 11 | 1
 7: x = 3  y = 40 | 1
 8: x = 4  y = 10*x + 5  order: 33 | 3
 9: x = 4  y = 33*x + 38 | 3
10: x = 5  y = 14  order: 55 | 1
11: x = 5  y = 29 | 1
12: x = 6  y = 3  order: 55 | 1
13: x = 6  y = 40 | 1
14: x = 7  y = 6*x + 3  order: 33 | 3
15: x = 7  y = 37*x + 40 | 3
16: x = 8  y = 19*x + 31  order: 33 | 3
17: x = 8  y = 24*x + 12 | 3
18: x = 9  y = 2*x + 1  order: 33 | 3
19: x = 9  y = 41*x + 42 | 3
20: x = 10  y = 5  order: 55 | 1
21: x = 10  y = 38 | 1
22: x = 11  y = 11  order: 11 | 1
23: x = 11  y = 32 | 1
24: x = 12  y = 5  order: 55 | 1
25: x = 12  y = 38 | 1
26: x = 13  y = 1  order: 55 | 1
27: x = 13  y = 42 | 1
28: x = 14  y = 18*x + 9  order: 3 | 3
29: x = 14  y = 25*x + 34 | 3
