47348	33368	59975	11349	20743
3131	37477	39768	29377	35179
62479	49496	8482	15485	9817
43059	50053	12680	3356	32116
53734	10766	57052	33253	54699
25799	36446	14631	22484	12147
42908	3436	21714	18627	62938
47438	13932	30917	56609	52425
2259	8545	24482	36854	44579
44253	25387	36193	45082	6989
55227	31259	40260	30143	36052
23329	931	13842	9798	38972
30568	34561	44975	18223	35657
11368	19219	59788	13770	41004
50078	61540	10489	583	54039
25689	150	3464	24276	51012
37642	9056	31563	30053	26296
59982	532	36429	51905	1589
41847	33296	61621	11683	25073
11151	12628	10207	47083	46156
